LED_Current(uA), Photodiode_Current(uA)
0,0
5.08646999,0.3802672148
10.17293998,1.233299075
14.24211597,2.672147996
20.34587996,5.447070915
33.57070193,11.81911614
40.69175992,15.93011305
48.8301119,23.63823227
61.03763988,33.91572456
75.27975585,48.30421377
92.57375381,68.24254882
109.8677518,88.38643371
134.2828077,120.6577595
162.7670397,161.356629
195.3204476,211.7163412
224.8219736,256.9373073
264.4964395,323.7410072
311.2919634,398.7667009
362.1566633,476.8756423
416.0732452,493.31963
461.8514751,495.3751285
521.871821,496.4028777
1220.752798,501.5416238
2065.106816,503.5971223
4781.28179,506.68037
10478.12818,508.7358684
15350.96643,509.7636177
21159.71516,509.7636177
26042.72635,510.7913669
30925.73754,510.7913669
40895.21872,510.7913669
51678.5351,510.7913669
